city,total_orders,total_revenue
PALAMPUR,21,14854.29
THANE West,22,14843.71
MYSORE,26,14840.71
JAUNPUR,28,14817.86
Mohali,22,14786.0
SURENDRANAGAR,23,14776.48
DHULE,23,14705.0
Siliguri,24,14657.0
NAMCHI,18,14639.33
MAHENDRAGARH,13,14619.0
Aluva,23,14599.19
MAHBUBNAGAR,21,14478.96
NADBAI,13,14470.25
Meerut,19,14394.0
MURWARA KATNI,24,14368.95
CURCHOREM,21,14287.93
KENDRAPARA,23,14258.0
ALUVA,25,14234.38
TIRUVALLUR,24,14215.0
BANDA,21,14180.38
JAGDALPUR,21,14173.0
Pimpri Chinchwad,25,14113.0
PURI,20,14074.54
COLVALE,18,14057.0
Payyanur,16,14049.0
NORTH GUWAHATI,20,14044.0
KALYANI,23,14022.0
GOLAGHAT,21,13911.29
UTTAR BAGDOGRA,20,13910.9
BAGALKOT,24,13907.380000000001
KORAPUT,19,13880.57
Jalandhar,22,13875.95
THALASSERY,24,13844.28
UTTARKASHI,18,13807.0
BEAWAR,18,13757.0
GANDHIDHAM,23,13670.96
KALPETTA,20,13664.19
VIRUDHUNAGAR,22,13645.86
BEGUSARAI,20,13636.77
VRINDAVAN,23,13632.11
Mathura,20,13614.24
SINGTAM,17,13599.25
BHIWANI,18,13599.14
Hosur,24,13582.0
CHAPRA,21,13561.83
NUZVID,20,13537.43
DHARMSALA,24,13525.48
MANGALAGIRI,24,13508.0
KUMBAKONAM,25,13497.0
HOSAPETE,21,13394.67
PARAVUR,24,13305.34
HIMMATNAGAR,18,13276.0
KATHUA,16,13269.57
RAMANATHAPURAM,23,13251.48
HOSHIARPUR,21,13218.36
VISNAGAR,16,13186.28
CALANGUTE,19,13185.67
BALAGHAT,15,13141.0
BUDAUN,22,13122.48
PAONTA SAHIB,21,13075.130000000001
Erode,16,13074.9
DEORIA,20,13067.0
DHENKANAL,18,13056.24
MADIKERI,28,13023.0
JAGTIAL,18,13020.0
BANKURA,18,13015.95
DEOGHAR,21,12994.0
IBRAHIMPATNAM,17,12983.0
Jodhpur,20,12956.19
ETTUMANOOR,20,12913.0
Navi mumbai,22,12869.0
VADAKARA,18,12867.52
SOHNA,19,12778.0
RAYAGADA RAYAGADA DISTRICT,16,12778.0
GADAG BETIGERI,16,12737.93
MEDAK,20,12717.0
UDHAMPUR,18,12688.0
CHENGALPATTU,26,12682.0
PIRANGUT,21,12652.0
RANGPO,17,12587.0
ANKLESHWAR,16,12564.0
KASHIPUR,20,12520.14
RATLAM,19,12506.58
KULGAM,13,12474.29
THANE west,19,12457.63
HOJAI,16,12422.0
NORTH 24 PARGANAS,18,12407.76
ANUGUL,16,12402.54
SOUTH DELHI,19,12337.43
NAGAUR,20,12330.43
DIGBOI,15,12318.0
NAHARLAGUN,15,12271.0
SEHORE,20,12267.57
Dhanbad,17,12252.0
SRIKALAHASTI,19,12236.0
DAMOH,16,12204.0
Pondicherry,18,12155.380000000001
OSMANABAD,17,12150.24
ETAWAH,21,12131.64
GREATER NOIDA WEST,22,12117.2
PALGHAR,19,12115.67
SERAMPORE,17,12045.0
ARARIA,14,12019.0
